"","Placement","Player","Country","Points","Deck","tournament","Pokemon1","Pokemon2"
"49",49,"Kurnia Indra","Indonesia","18","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"50",50,"titustan011","Singapore","18","Charizard ex Moltres ex","beaniebrawl","Charizard ex","Moltres ex"
"51",51,"Spectra75","United States","15","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"52",52,"gugujoguinhos","Brazil","15","Marowak ex Sandslash","beaniebrawl","Marowak ex","Sandslash"
"53",53,"leomonte","Brazil","15","Articuno ex Starmie ex","beaniebrawl","Articuno ex","Starmie ex"
"54",54,"Raichuomega","Paraguay","15","Articuno ex Starmie ex","beaniebrawl","Articuno ex","Starmie ex"
"55",55,"KatsuJinCard","United States","15","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"56",56,"Seizza","Brazil","15","Articuno ex Starmie ex","beaniebrawl","Articuno ex","Starmie ex"
"57",57,"kokevich","Spain","15","Pikachu ex Electrode","beaniebrawl","Pikachu ex","Electrode"
"58",58,"Alarill","Australia","15","Articuno ex","beaniebrawl","Articuno","ex"
"59",59,"kennydano","Great Britain","15","Charizard ex Moltres ex","beaniebrawl","Charizard ex","Moltres ex"
"60",60,"KennyeSpring","United States","15","Pikachu ex Zapdos ex","beaniebrawl","Pikachu ex","Zapdos ex"
"61",61,"R4ul","Brazil","15","Pikachu ex Zapdos ex","beaniebrawl","Pikachu ex","Zapdos ex"
"62",62,"Heppie","Indonesia","15","Pikachu ex Zapdos ex","beaniebrawl","Pikachu ex","Zapdos ex"
"63",63,"SonicF","Colombia","15","Pikachu ex Zebstrika","beaniebrawl","Pikachu ex","Zebstrika"
"64",64,"simonmcjoe","United States","15","Moltres ex Ninetales","beaniebrawl","Moltres ex","Ninetales"
"65",65,"thatguyinabeanie","United States","13","Starmie ex Greninja","beaniebrawl","Starmie ex","Greninja"
"66",66,"JohnSubbi","Italy","12","Ninetales Rapidash","beaniebrawl","Ninetales","Rapidash"
"67",67,"aeroow","Unknown","12","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"68",68,"akapelu","Great Britain","12","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"69",69,"Firsty","Brazil","12","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"70",70,"hqrcqnq","Unknown","12","Charizard ex Moltres ex","beaniebrawl","Charizard ex","Moltres ex"
"71",71,"Coreia","Brazil","9","Exeggutor ex Venusaur ex","beaniebrawl","Exeggutor ex","Venusaur ex"
"72",NA,"joek0","United States","15","Charizard ex Moltres ex","beaniebrawl","Charizard ex","Moltres ex"
"73",NA,"mizy","United States","0","Articuno ex Dragonite","beaniebrawl","Articuno ex","Dragonite"
"74",NA,"YoungLotus12","Great Britain","3","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"75",NA,"TheBannedBoy","Brazil","9","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"76",NA,"phatback2509","United States","0","Charizard ex Moltres ex","beaniebrawl","Charizard ex","Moltres ex"
"77",NA,"MutantFreak","Spain","12","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"78",NA,"kamille","Japan","0","Charizard ex Moltres ex","beaniebrawl","Charizard ex","Moltres ex"
"79",NA,"arajacha","Spain","0","Charizard ex Moltres ex","beaniebrawl","Charizard ex","Moltres ex"
"80",NA,"TheWiseFool","Canada","3","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"81",NA,"Abe","Spain","3","Pikachu ex Zapdos ex","beaniebrawl","Pikachu ex","Zapdos ex"
"82",NA,"iHobbit","Brazil","12","Dragonite Frosmoth","beaniebrawl","Dragonite","Frosmoth"
"83",NA,"Alo","France","3","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"84",NA,"Chiefton","Trinidad and Tobago","6","Pikachu ex Electrode","beaniebrawl","Pikachu ex","Electrode"
"85",NA,"DarKingBR","Brazil","0","Muk Weezing","beaniebrawl","Muk","Weezing"
"86",NA,"Drakontcg","Italy","0","Charizard ex Moltres ex","beaniebrawl","Charizard ex","Moltres ex"
"87",NA,"Galacticsquidz","United States","12","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"88",NA,"TheReaper_619","India","6","Charizard ex Moltres ex","beaniebrawl","Charizard ex","Moltres ex"
"89",NA,"jaimeaimyjam","United States","3","Pikachu ex Zebstrika","beaniebrawl","Pikachu ex","Zebstrika"
"90",NA,"byjoju","Spain","9","Pikachu ex Electrode","beaniebrawl","Pikachu ex","Electrode"
"91",NA,"Lulu","France","10","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"92",NA,"Alelu1234","Italy","12","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"93",NA,"niconape","Italy","0","Wigglytuff ex Weezing","beaniebrawl","Wigglytuff ex","Weezing"
"94",NA,"ttvStrawhat","Unknown","9","Pikachu ex Zapdos ex","beaniebrawl","Pikachu ex","Zapdos ex"
"95",NA,"Hope","Argentina","9","Charizard ex Moltres ex","beaniebrawl","Charizard ex","Moltres ex"
"96",NA,"alphawolf","Canada","3","Pikachu ex Zebstrika","beaniebrawl","Pikachu ex","Zebstrika"
"97",NA,"capo72761","Unknown","6","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"98",NA,"gomess","Brazil","3","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"99",NA,"DrGrindal","Unknown","6","Dragonite Jolteon","beaniebrawl","Dragonite","Jolteon"
"100",NA,"Wesley454","Unknown","9","Marowak ex Sandslash","beaniebrawl","Marowak ex","Sandslash"
"101",NA,"CTEM","United States","3","Charizard ex Moltres ex","beaniebrawl","Charizard ex","Moltres ex"
"102",NA,"Exxxxsegutor","Unknown","3","Pikachu ex Zebstrika","beaniebrawl","Pikachu ex","Zebstrika"
"103",NA,"Ikaramashu","Puerto Rico","6","Centiskorch Rapidash","beaniebrawl","Centiskorch","Rapidash"
"104",NA,"hasenowo","Thailand","0","Pikachu ex Zebstrika","beaniebrawl","Pikachu ex","Zebstrika"
"105",NA,"Coccobello","Italy","6","Dragonite","beaniebrawl","Dragonite","Dragonite"
"106",NA,"Kuraito","Mexico","0","Pikachu ex Electrode","beaniebrawl","Pikachu ex","Electrode"
"107",NA,"elmatadorperu","Peru","0","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"108",NA,"Mejes","France","3","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"109",NA,"AzeL","Indonesia","15","Charizard ex Moltres ex","beaniebrawl","Charizard ex","Moltres ex"
"110",NA,"Bryan931006","Colombia","9","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"111",NA,"Juk3dGaming","Canada","9","Charizard ex Moltres ex","beaniebrawl","Charizard ex","Moltres ex"
"112",NA,"Ellcryse","Italy","6","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"113",NA,"Newmasaur","United States","6","Pikachu ex Zebstrika","beaniebrawl","Pikachu ex","Zebstrika"
"114",NA,"JF","Unknown","0","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"115",NA,"Obijuanjabroni","Unknown","0","Pikachu ex Zebstrika","beaniebrawl","Pikachu ex","Zebstrika"
"116",NA,"tcgcthulhu","United States","6","Arbok Weezing","beaniebrawl","Arbok","Weezing"
"117",NA,"FlyAsAFlygon","United States","9","Articuno ex Bruxish","beaniebrawl","Articuno ex","Bruxish"
"118",NA,"Karankhi","Spain","0","Mewtwo ex Pidgeot","beaniebrawl","Mewtwo ex","Pidgeot"
"119",NA,"EchuAlaketu115","Mexico","0","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"120",NA,"Darffan","Brazil","12","Pikachu ex Electrode","beaniebrawl","Pikachu ex","Electrode"
"121",NA,"sooshiroll","United States","3","Articuno ex Blastoise ex","beaniebrawl","Articuno ex","Blastoise ex"
"122",NA,"Yain","Spain","9","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"123",NA,"ThisisChris","Austria","6","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"124",NA,"Tygerr","United States","6","Dragonite Jolteon","beaniebrawl","Dragonite","Jolteon"
"125",NA,"Z2R Cogao","Brazil","9","Wigglytuff ex Frosmoth","beaniebrawl","Wigglytuff ex","Frosmoth"
"126",NA,"kabo87777","Taiwan","3","Blastoise ex Snorlax","beaniebrawl","Blastoise ex","Snorlax"
"127",NA,"pogi","Korea","3","Exeggutor ex Venusaur ex","beaniebrawl","Exeggutor ex","Venusaur ex"
"128",NA,"Asra757","Malaysia","6","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"129",NA,"Draxolotl","Great Britain","0","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"130",NA,"Sushikraver","United States","12","Marowak ex Sandslash","beaniebrawl","Marowak ex","Sandslash"
"131",NA,"Rulacio","Spain","9","Venusaur ex Lilligant","beaniebrawl","Venusaur ex","Lilligant"
"132",NA,"neo1337","Unknown","3","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"133",NA,"Jer","Singapore","0","Pikachu ex Electrode","beaniebrawl","Pikachu ex","Electrode"
"134",NA,"elenick13","Greece","0","Pikachu ex Zapdos ex","beaniebrawl","Pikachu ex","Zapdos ex"
"135",NA,"BigBoySnap","Germany","6","Arbok Weezing","beaniebrawl","Arbok","Weezing"
"136",NA,"Akbarram","Indonesia","0","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"137",NA,"Valden","France","0","Ninetales Rapidash","beaniebrawl","Ninetales","Rapidash"
"138",NA,"Racsoh","Spain","18","Pikachu ex Electrode","beaniebrawl","Pikachu ex","Electrode"
"139",NA,"BrokenArt","France","3","Pikachu ex Electrode","beaniebrawl","Pikachu ex","Electrode"
"140",NA,"Manji","France","6","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"141",NA,"Akeras","France","3","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"142",NA,"melor0421","Hong Kong","3","Exeggutor ex Venusaur ex","beaniebrawl","Exeggutor ex","Venusaur ex"
"143",NA,"KingDippy","Unknown","3","Exeggutor ex Venusaur ex","beaniebrawl","Exeggutor ex","Venusaur ex"
"144",NA,"Sloaney","United States","6","Articuno ex Starmie ex","beaniebrawl","Articuno ex","Starmie ex"
"145",NA,"Azelf","Korea","9","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"146",NA,"Xatumiko","United States","6","Gengar ex Kangaskhan","beaniebrawl","Gengar ex","Kangaskhan"
"147",NA,"Neide","Brazil","6","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"148",NA,"Rikuboy","Unknown","12","Starmie ex Tentacruel","beaniebrawl","Starmie ex","Tentacruel"
"149",NA,"Azhell","France","0","Exeggutor ex Venusaur ex","beaniebrawl","Exeggutor ex","Venusaur ex"
"150",NA,"Bankshotbob","United States","6","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"151",NA,"himokyu","Japan","3","Pikachu ex Zapdos ex","beaniebrawl","Pikachu ex","Zapdos ex"
"152",NA,"Kartenkumpel","Unknown","3","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"153",NA,"Gil20mo","France","9","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"154",NA,"Sensaga","Indonesia","12","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"155",NA,"erizr10","United States","0","Pikachu ex Electrode","beaniebrawl","Pikachu ex","Electrode"
"156",NA,"ydfox","Turkiye","3","Gengar ex Gardevoir","beaniebrawl","Gengar ex","Gardevoir"
"157",NA,"pikapikachu1989","United States","0","Arbok Weezing","beaniebrawl","Arbok","Weezing"
"158",NA,"Crystallenz","Japan","6","Charizard ex Moltres ex","beaniebrawl","Charizard ex","Moltres ex"
"159",NA,"TW Soda","Taiwan","0","Pikachu ex Zebstrika","beaniebrawl","Pikachu ex","Zebstrika"
"160",NA,"Charmee","Italy","9","Pikachu ex Electrode","beaniebrawl","Pikachu ex","Electrode"
"161",NA,"AnaLystX","Indonesia","9","Pikachu ex Raichu","beaniebrawl","Pikachu ex","Raichu"
"162",NA,"JulianJRA","Spain","6","Alakazam","beaniebrawl","Alakazam","Alakazam"
"163",NA,"LostMikyu","Unknown","6","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"164",NA,"Darth_Mors","Puerto Rico","6","Alakazam Weezing","beaniebrawl","Alakazam","Weezing"
"165",NA,"kaesus","Unknown","0","Starmie ex Greninja","beaniebrawl","Starmie ex","Greninja"
"166",NA,"DarthTator22","United States","3","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"167",NA,"Ylenar","Unknown","0","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"168",NA,"Polyd","Spain","6","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"169",NA,"KawaiiTrump","Great Britain","3","Gengar ex Gengar","beaniebrawl","Gengar ex","Gengar"
"170",NA,"Gabess","Brazil","0","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"171",NA,"RobertBall25","United States","9","Pikachu ex Zebstrika","beaniebrawl","Pikachu ex","Zebstrika"
"172",NA,"Henrique F","Brazil","0","Machamp ex Sandslash","beaniebrawl","Machamp ex","Sandslash"
"173",NA,"Tayz","Unknown","3","Articuno ex","beaniebrawl","Articuno","ex"
"174",NA,"OrangePurple","Great Britain","0","Pikachu ex Zapdos ex","beaniebrawl","Pikachu ex","Zapdos ex"
"175",NA,"Comatosis","Brazil","9","Pikachu ex Zebstrika","beaniebrawl","Pikachu ex","Zebstrika"
"176",NA,"Smash_TS","Paraguay","6","Marowak ex Sandslash","beaniebrawl","Marowak ex","Sandslash"
"177",NA,"Tt9911","Germany","6","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"178",NA,"Yamlhere","United States","0","Wigglytuff ex Pidgeot","beaniebrawl","Wigglytuff ex","Pidgeot"
"179",NA,"Guithemegames","Brazil","0","Articuno ex Starmie ex","beaniebrawl","Articuno ex","Starmie ex"
"180",NA,"Fredran","Brazil","12","Articuno ex Starmie ex","beaniebrawl","Articuno ex","Starmie ex"
"181",NA,"charismaacheck","United States","3","Pikachu ex Electrode","beaniebrawl","Pikachu ex","Electrode"
"182",NA,"St3","Italy","0","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"183",NA,"Windy09","Korea","12","Charizard ex Moltres ex","beaniebrawl","Charizard ex","Moltres ex"
"184",NA,"GTlv99","Unknown","3","Marowak ex Sandslash","beaniebrawl","Marowak ex","Sandslash"
"185",NA,"KingKai","United States","6","Machamp ex Marowak ex","beaniebrawl","Machamp ex","Marowak ex"
"186",NA,"neant","France","12","Exeggutor ex Victreebel","beaniebrawl","Exeggutor ex","Victreebel"
"187",NA,"MasterShadow","United States","6","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"188",NA,"felipescid","Brazil","9","Ninetales Rapidash","beaniebrawl","Ninetales","Rapidash"
"189",NA,"Brandon J","United States","0","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"190",NA,"zacx","Brazil","0","Pikachu ex Raichu","beaniebrawl","Pikachu ex","Raichu"
"191",NA,"loolersss","France","9","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"192",NA,"Exco","Singapore","12","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"193",NA,"nuti","United States","12","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"194",NA,"Undeadex","Unknown","3","Starmie ex Greninja","beaniebrawl","Starmie ex","Greninja"
"195",NA,"u wu","Germany","0","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"196",NA,"FuryofStorm","Spain","6","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"197",NA,"BucketHat","United States","15","Articuno ex Starmie ex","beaniebrawl","Articuno ex","Starmie ex"
"198",NA,"Azzareel","Unknown","0","Pikachu ex Zapdos ex","beaniebrawl","Pikachu ex","Zapdos ex"
"199",NA,"Guggy","Canada","9","Arbok Weezing","beaniebrawl","Arbok","Weezing"
"200",NA,"Jac Thiebeau","United States","15","Articuno ex Starmie ex","beaniebrawl","Articuno ex","Starmie ex"
"201",NA,"REIKOU","Spain","0","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"202",NA,"Gabriele","Italy","3","Pikachu ex Electrode","beaniebrawl","Pikachu ex","Electrode"
"203",NA,"Saimaru","Poland","0","Alakazam Weezing","beaniebrawl","Alakazam","Weezing"
"204",NA,"kn0w","Unknown","3","Venusaur ex Butterfree","beaniebrawl","Venusaur ex","Butterfree"
"205",NA,"Vittorio I","Italy","9","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"206",NA,"sugry15","Spain","6","Starmie ex Golduck","beaniebrawl","Starmie ex","Golduck"
"207",NA,"SwansonSays","United States","3","Marowak ex Sandslash","beaniebrawl","Marowak ex","Sandslash"
"208",NA,"Christian F","Italy","0","Articuno ex Starmie ex","beaniebrawl","Articuno ex","Starmie ex"
"209",NA,"Polygondx","Brazil","9","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"210",NA,"FByStorm","Dominican Republic","6","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"211",NA,"Akeelo","Canada","15","Charizard ex Moltres ex","beaniebrawl","Charizard ex","Moltres ex"
"212",NA,"Phonytail","Great Britain","9","Pikachu ex Zebstrika","beaniebrawl","Pikachu ex","Zebstrika"
"213",NA,"ploalexis","Canada","0","Articuno ex Starmie ex","beaniebrawl","Articuno ex","Starmie ex"
"214",NA,"tilti1","Brazil","6","Marowak ex Sandslash","beaniebrawl","Marowak ex","Sandslash"
"215",NA,"Bassiouny92","United Arab Emirates","0","Pikachu ex Electrode","beaniebrawl","Pikachu ex","Electrode"
"216",NA,"JaeRazeTcg","United States","6","Exeggutor ex Venusaur ex","beaniebrawl","Exeggutor ex","Venusaur ex"
"217",NA,"Pikii","France","3","Dragonite Weezing","beaniebrawl","Dragonite","Weezing"
"218",NA,"crynimar","Brazil","6","Pikachu ex Zebstrika","beaniebrawl","Pikachu ex","Zebstrika"
"219",NA,"savg1000","United States","12","Pikachu ex Electrode","beaniebrawl","Pikachu ex","Electrode"
"220",NA,"MochaLatte","Singapore","12","Pikachu ex Zebstrika","beaniebrawl","Pikachu ex","Zebstrika"
"221",NA,"Gualo","Venezuela","15","Articuno ex Starmie ex","beaniebrawl","Articuno ex","Starmie ex"
"222",NA,"jeffbezos","United States","12","Articuno ex","beaniebrawl","Articuno","ex"
"223",NA,"Angelo La Vecchia","Italy","0","Dragonite Weezing","beaniebrawl","Dragonite","Weezing"
"224",NA,"alfredo valenti","Italy","12","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"225",NA,"Ertrappola78","Italy","0","Arbok Weezing","beaniebrawl","Arbok","Weezing"
"226",NA,"Pizzaface33","United States","0","Ninetales Rapidash","beaniebrawl","Ninetales","Rapidash"
"227",NA,"Xuxsoul","United States","3","Ninetales Rapidash","beaniebrawl","Ninetales","Rapidash"
"228",NA,"mtg_dbz","United States","6","Starmie ex Greninja","beaniebrawl","Starmie ex","Greninja"
"229",NA,"Jero","Canada","0","Articuno ex Starmie ex","beaniebrawl","Articuno ex","Starmie ex"
"230",NA,"Jeudy","United States","12","Charizard ex Moltres ex","beaniebrawl","Charizard ex","Moltres ex"
"231",NA,"Fredsiii","Brazil","0","Exeggutor ex Venusaur ex","beaniebrawl","Exeggutor ex","Venusaur ex"
"232",NA,"KingHeracross","United States","12","Wigglytuff ex Weezing","beaniebrawl","Wigglytuff ex","Weezing"
"233",NA,"kazma","Taiwan","0","Pikachu ex Zebstrika","beaniebrawl","Pikachu ex","Zebstrika"
"234",NA,"AstroboyBH","France","6","Pikachu ex Electrode","beaniebrawl","Pikachu ex","Electrode"
"235",NA,"Defy","United States","0","Alakazam Weezing","beaniebrawl","Alakazam","Weezing"
"236",NA,"Fawn","Indonesia","0","Arbok Weezing","beaniebrawl","Arbok","Weezing"
"237",NA,"Rose14","Puerto Rico","3","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"238",NA,"NicholasMoffitt","United States","3","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"239",NA,"Noxy","India","0","Exeggutor ex Venusaur ex","beaniebrawl","Exeggutor ex","Venusaur ex"
"240",NA,"Exno","Brazil","6","Charizard ex Moltres ex","beaniebrawl","Charizard ex","Moltres ex"
"241",NA,"bananapirate","Unknown","3","Ninetales Rapidash","beaniebrawl","Ninetales","Rapidash"
"242",NA,"Shirotori","Germany","3","Bisharp Melmetal","beaniebrawl","Bisharp","Melmetal"
"243",NA,"josestalindo","Spain","3","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"244",NA,"Z2R Solid Calf","Brazil","6","Charizard ex Moltres ex","beaniebrawl","Charizard ex","Moltres ex"
"245",NA,"sapilas","Greece","0","Ninetales Rapidash","beaniebrawl","Ninetales","Rapidash"
"246",NA,"Sagite","Brazil","3","Mewtwo ex Gardevoir","beaniebrawl","Mewtwo ex","Gardevoir"
"247",NA,"FallingtoVoid","Argentina","6","Pikachu ex Raichu","beaniebrawl","Pikachu ex","Raichu"
"248",NA,"Zeusb","Brazil","10","Charizard ex Moltres ex","beaniebrawl","Charizard ex","Moltres ex"
"249",NA,"Darksid3","Brazil","3","Pikachu ex Electrode","beaniebrawl","Pikachu ex","Electrode"
