"","Player","Round","Result","Opponent","sth","Standing","PlayerDeck","OpponentDeck","tournament"
"39","dont_eat_me","7","WIN","Raichuomega",NA,"5-4-0","Pikachu ex Zapdos ex","Articuno ex Starmie ex","beaniebrawl"
"40","dont_eat_me","6","LOSS","GloriWasHere",NA,"7-3-1","Pikachu ex Zapdos ex","Articuno ex Greninja","beaniebrawl"
"41","dont_eat_me","5","WIN","loolersss",NA,"3-3-0drop","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir","beaniebrawl"
"42","dont_eat_me","4","WIN","Coccobello",NA,"2-2-0drop","Pikachu ex Zapdos ex","Dragonite","beaniebrawl"
"43","dont_eat_me","3","WIN","Neide",NA,"2-3-0drop","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir","beaniebrawl"
"44","dont_eat_me","2","LOSS","Atmosphere",NA,"7-3-1","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir","beaniebrawl"
"45","dont_eat_me","1","WIN","BucketHat",NA,"5-4-0drop","Pikachu ex Zapdos ex","Articuno ex Starmie ex","beaniebrawl"
"47","Resh","8","WIN","Ursiidae",NA,"5-3-0drop","Pikachu ex Electrode","Exeggutor ex Venusaur ex","beaniebrawl"
"48","Resh","7","LOSS","BHB・Luna Y",NA,"9-2-1","Pikachu ex Electrode","Mewtwo ex Gardevoir","beaniebrawl"
"49","Resh","6","WIN","leomonte",NA,"5-4-0","Pikachu ex Electrode","Articuno ex Starmie ex","beaniebrawl"
"50","Resh","5","WIN","Charmee",NA,"3-2-0drop","Pikachu ex Electrode","Pikachu ex Electrode","beaniebrawl"
"51","Resh","4","WIN","Xeloo",NA,"9-3-1","Pikachu ex Electrode","Pikachu ex Zebstrika","beaniebrawl"
"52","Resh","3","WIN","R4ul",NA,"5-4-0","Pikachu ex Electrode","Pikachu ex Zapdos ex","beaniebrawl"
"53","Resh","2","WIN","ItsMik3yTime",NA,"6-3-0","Pikachu ex Electrode","Charizard ex Moltres ex","beaniebrawl"
"54","Resh","1","LOSS","Drayke",NA,"10-2-2","Pikachu ex Electrode","Pikachu ex Zebstrika","beaniebrawl"
"56","Xeloo","8","WIN","joek0",NA,"5-4-0drop","Pikachu ex Zebstrika","Charizard ex Moltres ex","beaniebrawl"
"57","Xeloo","7","WIN","Windy09",NA,"4-3-0drop","Pikachu ex Zebstrika","Charizard ex Moltres ex","beaniebrawl"
"58","Xeloo","6","WIN","KennyeSpring",NA,"5-4-0","Pikachu ex Zebstrika","Pikachu ex Zapdos ex","beaniebrawl"
"59","Xeloo","5","WIN","AnimatedEagle",NA,"2-3-0drop","Pikachu ex Zebstrika","Articuno ex","beaniebrawl"
"60","Xeloo","4","LOSS","Resh",NA,"9-3-1","Pikachu ex Zebstrika","Pikachu ex Electrode","beaniebrawl"
"61","Xeloo","3","LOSS","ZOINKS",NA,"8-2-1","Pikachu ex Zebstrika","Exeggutor ex Victreebel","beaniebrawl"
"62","Xeloo","2","WIN","MasterShadow",NA,"2-4-0drop","Pikachu ex Zebstrika","Mewtwo ex Gardevoir","beaniebrawl"
"63","Xeloo","1","WIN","Raichuomega",NA,"5-4-0","Pikachu ex Zebstrika","Articuno ex Starmie ex","beaniebrawl"
"65","mILANGAs","8","WIN","kennydano",NA,"5-4-0","Articuno ex","Charizard ex Moltres ex","beaniebrawl"
"66","mILANGAs","7","WIN","Firsty",NA,"4-5-0","Articuno ex","Mewtwo ex Gardevoir","beaniebrawl"
"67","mILANGAs","6","LOSS","Jac Thiebeau",NA,"5-3-0drop","Articuno ex","Articuno ex Starmie ex","beaniebrawl"
"68","mILANGAs","5","WIN","joek0",NA,"5-4-0drop","Articuno ex","Charizard ex Moltres ex","beaniebrawl"
"69","mILANGAs","4","LOSS","Drayke",NA,"10-2-2","Articuno ex","Pikachu ex Zebstrika","beaniebrawl"
"70","mILANGAs","3","WIN","RobertBall25",NA,"3-4-0drop","Articuno ex","Pikachu ex Zebstrika","beaniebrawl"
"71","mILANGAs","2","WIN","gomess",NA,"1-1-0drop","Articuno ex","Mewtwo ex Gardevoir","beaniebrawl"
"72","mILANGAs","1","WIN","kaesus",NA,"0-3-0drop","Articuno ex","Starmie ex Greninja","beaniebrawl"
"73","MaximusAle","9","WIN","BigTingz",NA,"8-2-1","Pikachu ex Zebstrika","Exeggutor ex Venusaur ex","beaniebrawl"
"74","MaximusAle","8","WIN","Juan Rodriguez",NA,"8-3-1","Pikachu ex Zebstrika","Machamp ex Marowak ex","beaniebrawl"
"75","MaximusAle","7","WIN","Lukse",NA,"5-3-0drop","Pikachu ex Zebstrika","Mewtwo ex Gardevoir","beaniebrawl"
"76","MaximusAle","6","LOSS","MommyMIlkers",NA,"8-1-2","Pikachu ex Zebstrika","Pikachu ex Raichu","beaniebrawl"
"77","MaximusAle","5","WIN","Curupira",NA,"6-3-0","Pikachu ex Zebstrika","Pikachu ex Zapdos ex","beaniebrawl"
"78","MaximusAle","4","WIN","Luke Shore-Jones",NA,"8-3-0","Pikachu ex Zebstrika","Pikachu ex Raichu","beaniebrawl"
"79","MaximusAle","3","WIN","AnaLystX",NA,"3-3-0drop","Pikachu ex Zebstrika","Pikachu ex Raichu","beaniebrawl"
"80","MaximusAle","2","WIN","bk7",NA,"8-3-0","Pikachu ex Zebstrika","Starmie ex Greninja","beaniebrawl"
"81","MaximusAle","1","WIN","Drakontcg",NA,"0-3-0drop","Pikachu ex Zebstrika","Charizard ex Moltres ex","beaniebrawl"
"82","FeliredVD","9","WIN","bk7",NA,"8-3-0","Pikachu ex Electrode","Starmie ex Greninja","beaniebrawl"
"83","FeliredVD","8","WIN","Jotapee",NA,"9-2-0","Pikachu ex Electrode","Pikachu ex Electrode","beaniebrawl"
"84","FeliredVD","7","WIN","Gualo",NA,"5-2-0drop","Pikachu ex Electrode","Articuno ex Starmie ex","beaniebrawl"
"85","FeliredVD","6","WIN","Bteks",NA,"5-3-0drop","Pikachu ex Electrode","Pikachu ex Raichu","beaniebrawl"
"86","FeliredVD","5","WIN","jeffbezos",NA,"4-4-0drop","Pikachu ex Electrode","Articuno ex","beaniebrawl"
"87","FeliredVD","4","WIN","Alarill",NA,"5-4-0","Pikachu ex Electrode","Articuno ex","beaniebrawl"
"88","FeliredVD","3","LOSS","alfredo valenti",NA,"4-4-0drop","Pikachu ex Electrode","Mewtwo ex Gardevoir","beaniebrawl"
"89","FeliredVD","2","WIN","Darth_Mors",NA,"2-5-0drop","Pikachu ex Electrode","Alakazam Weezing","beaniebrawl"
"90","FeliredVD","1","WIN","KiteFFC",NA,"0-3-0drop","Pikachu ex Electrode","Articuno ex Starmie ex","beaniebrawl"
"92","BHB・Luna Y","8","WIN","Rhys G",NA,"7-3-1","Mewtwo ex Gardevoir","Articuno ex Starmie ex","beaniebrawl"
"93","BHB・Luna Y","7","WIN","Resh",NA,"9-3-1","Mewtwo ex Gardevoir","Pikachu ex Electrode","beaniebrawl"
"94","BHB・Luna Y","6","WIN","Pokelucas",NA,"6-3-0","Mewtwo ex Gardevoir","Pikachu ex Raichu","beaniebrawl"
"95","BHB・Luna Y","5","WIN","Hope",NA,"3-2-0drop","Mewtwo ex Gardevoir","Charizard ex Moltres ex","beaniebrawl"
"96","BHB・Luna Y","4","WIN","TheReaper_619",NA,"2-3-0drop","Mewtwo ex Gardevoir","Charizard ex Moltres ex","beaniebrawl"
"97","BHB・Luna Y","3","LOSS","Huso",NA,"3-2-0drop","Mewtwo ex Gardevoir","Exeggutor ex Venusaur ex","beaniebrawl"
"98","BHB・Luna Y","2","WIN","Bahamut",NA,"1-2-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","beaniebrawl"
"99","BHB・Luna Y","1","WIN","Nidha",NA,"6-3-0","Mewtwo ex Gardevoir","Venusaur ex Lilligant","beaniebrawl"
"101","Juan Rodriguez","8","LOSS","MaximusAle",NA,"10-2-0","Machamp ex Marowak ex","Pikachu ex Zebstrika","beaniebrawl"
"102","Juan Rodriguez","7","WIN","iLoveQueijo",NA,"6-3-0","Machamp ex Marowak ex","Pikachu ex Zebstrika","beaniebrawl"
"103","Juan Rodriguez","6","WIN","neant",NA,"4-2-0drop","Machamp ex Marowak ex","Exeggutor ex Victreebel","beaniebrawl"
"104","Juan Rodriguez","5","WIN","gustaf",NA,"6-3-0","Machamp ex Marowak ex","Pikachu ex Zapdos ex","beaniebrawl"
"105","Juan Rodriguez","4","WIN","tilti1",NA,"2-2-0drop","Machamp ex Marowak ex","Marowak ex Sandslash","beaniebrawl"
"106","Juan Rodriguez","3","WIN","Sagite",NA,"1-3-0drop","Machamp ex Marowak ex","Mewtwo ex Gardevoir","beaniebrawl"
"107","Juan Rodriguez","2","WIN","DarKingBR",NA,"0-2-0drop","Machamp ex Marowak ex","Muk Weezing","beaniebrawl"
"108","Juan Rodriguez","1","LOSS","BigTingz",NA,"8-2-1","Machamp ex Marowak ex","Exeggutor ex Venusaur ex","beaniebrawl"
"110","Oralet","8","WIN","KH3PRI",NA,"11-3-1","Mewtwo ex Gardevoir","Pikachu ex Electrode","beaniebrawl"
"111","Oralet","7","LOSS","ZOINKS",NA,"8-2-1","Mewtwo ex Gardevoir","Exeggutor ex Victreebel","beaniebrawl"
"112","Oralet","6","WIN","KatsuJinCard",NA,"5-4-0","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","beaniebrawl"
"113","Oralet","5","WIN","Raichuomega",NA,"5-4-0","Mewtwo ex Gardevoir","Articuno ex Starmie ex","beaniebrawl"
"114","Oralet","4","LOSS","leomonte",NA,"5-4-0","Mewtwo ex Gardevoir","Articuno ex Starmie ex","beaniebrawl"
"115","Oralet","3","WIN","MutantFreak",NA,"4-4-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","beaniebrawl"
"116","Oralet","2","WIN","neo1337",NA,"1-1-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","beaniebrawl"
"117","Oralet","1","WIN","Defy",NA,"0-1-0drop","Mewtwo ex Gardevoir","Alakazam Weezing","beaniebrawl"
"119","excaliblarg","8","WIN","Akeelo",NA,"5-3-0drop","Ninetales Rapidash","Charizard ex Moltres ex","beaniebrawl"
"120","excaliblarg","7","WIN","kokevich",NA,"5-4-0","Ninetales Rapidash","Pikachu ex Electrode","beaniebrawl"
"121","excaliblarg","6","LOSS","NinoEx",NA,"8-3-0","Ninetales Rapidash","Mewtwo ex Gardevoir","beaniebrawl"
"122","excaliblarg","5","LOSS","Gualo",NA,"5-2-0drop","Ninetales Rapidash","Articuno ex Starmie ex","beaniebrawl"
"123","excaliblarg","4","WIN","gustaf",NA,"6-3-0","Ninetales Rapidash","Pikachu ex Zapdos ex","beaniebrawl"
"124","excaliblarg","3","WIN","Windy09",NA,"4-3-0drop","Ninetales Rapidash","Charizard ex Moltres ex","beaniebrawl"
"125","excaliblarg","2","WIN","jreamx",NA,"1-4-0drop","Ninetales Rapidash","Marowak ex Pidgeot","beaniebrawl"
"126","excaliblarg","1","WIN","Gabess",NA,"0-3-0drop","Ninetales Rapidash","Mewtwo ex Gardevoir","beaniebrawl"
"128","Ryzeoverrun","8","WIN","Lukse",NA,"5-3-0drop","Pikachu ex Electrode","Mewtwo ex Gardevoir","beaniebrawl"
"129","Ryzeoverrun","7","WIN","MiiiMario",NA,"6-3-0","Pikachu ex Electrode","Starmie ex Tentacruel","beaniebrawl"
"130","Ryzeoverrun","6","WIN","Bryan931006",NA,"3-3-0drop","Pikachu ex Electrode","Mewtwo ex Gardevoir","beaniebrawl"
"131","Ryzeoverrun","5","WIN","Z2R Solid Calf",NA,"2-3-0drop","Pikachu ex Electrode","Charizard ex Moltres ex","beaniebrawl"
"132","Ryzeoverrun","4","WIN","lautaloval",NA,"1-3-0drop","Pikachu ex Electrode","Articuno ex Starmie ex","beaniebrawl"
"133","Ryzeoverrun","3","LOSS","owntempo",NA,"4-3-0drop","Pikachu ex Electrode","Charizard ex Moltres ex","beaniebrawl"
"134","Ryzeoverrun","2","WIN","OumaTCG",NA,"1-3-0drop","Pikachu ex Electrode","Blastoise ex","beaniebrawl"
"135","Ryzeoverrun","1","LOSS","ZOINKS",NA,"8-2-1","Pikachu ex Electrode","Exeggutor ex Victreebel","beaniebrawl"
"137","Arylide","8","WIN","nader .",NA,"6-3-0","Marowak ex Pidgeot","Mewtwo ex Gardevoir","beaniebrawl"
"138","Arylide","7","WIN","Mantelnor",NA,"4-3-0drop","Marowak ex Pidgeot","Articuno ex","beaniebrawl"
"139","Arylide","6","WIN","HeLoDe",NA,"3-3-0drop","Marowak ex Pidgeot","Mewtwo ex Gardevoir","beaniebrawl"
"140","Arylide","5","LOSS","Elegy",NA,"5-3-0drop","Marowak ex Pidgeot","Articuno ex Greninja","beaniebrawl"
"141","Arylide","4","WIN","AstroboyBH",NA,"2-3-0drop","Marowak ex Pidgeot","Pikachu ex Electrode","beaniebrawl"
"142","Arylide","3","WIN","YoungLotus12",NA,"1-2-0drop","Marowak ex Pidgeot","Mewtwo ex Gardevoir","beaniebrawl"
"143","Arylide","2","WIN","Azhell",NA,"0-2-0drop","Marowak ex Pidgeot","Exeggutor ex Venusaur ex","beaniebrawl"
"144","Arylide","1","LOSS","WhiteMan",NA,"2-3-0drop","Marowak ex Pidgeot","Articuno ex Dragonite","beaniebrawl"
"145","Jotapee","9","WIN","NinoEx",NA,"8-3-0","Pikachu ex Electrode","Mewtwo ex Gardevoir","beaniebrawl"
"146","Jotapee","8","LOSS","FeliredVD",NA,"10-2-0","Pikachu ex Electrode","Pikachu ex Electrode","beaniebrawl"
"147","Jotapee","7","WIN","Drayke",NA,"10-2-2","Pikachu ex Electrode","Pikachu ex Zebstrika","beaniebrawl"
"148","Jotapee","6","WIN","KH3PRI",NA,"11-3-1","Pikachu ex Electrode","Pikachu ex Electrode","beaniebrawl"
"149","Jotapee","5","WIN","Arthur Mesquita",NA,"5-3-0drop","Pikachu ex Electrode","Arbok Weezing","beaniebrawl"
"150","Jotapee","4","WIN","Spectra75",NA,"5-4-0","Pikachu ex Electrode","Mewtwo ex Gardevoir","beaniebrawl"
"151","Jotapee","3","WIN","BreloomBoi",NA,"2-1-0drop","Pikachu ex Electrode","Pikachu ex Electrode","beaniebrawl"
"152","Jotapee","2","WIN","lexortcg",NA,"1-2-0drop","Pikachu ex Electrode","Pikachu ex Zapdos ex","beaniebrawl"
"153","Jotapee","1","WIN","Fredsiii",NA,"0-1-0drop","Pikachu ex Electrode","Exeggutor ex Venusaur ex","beaniebrawl"
"156","MommyMIlkers","7","WIN","Soaked_Leaf6",NA,"7-2-2","Pikachu ex Raichu","Articuno ex Starmie ex","beaniebrawl"
"157","MommyMIlkers","6","WIN","MaximusAle",NA,"10-2-0","Pikachu ex Raichu","Pikachu ex Zebstrika","beaniebrawl"
"158","MommyMIlkers","5","WIN","Kaywi21",NA,"4-2-0drop","Pikachu ex Raichu","Pikachu ex Electrode","beaniebrawl"
"159","MommyMIlkers","4","WIN","AzeL",NA,"5-3-0drop","Pikachu ex Raichu","Charizard ex Moltres ex","beaniebrawl"
"160","MommyMIlkers","3","WIN","OrionInfinity",NA,"2-3-0drop","Pikachu ex Raichu","Mewtwo ex Gardevoir","beaniebrawl"
"161","MommyMIlkers","2","WIN","Juk3dGaming",NA,"3-3-0drop","Pikachu ex Raichu","Charizard ex Moltres ex","beaniebrawl"
"162","MommyMIlkers","1","WIN","Henrique F",NA,"0-3-0drop","Pikachu ex Raichu","Machamp ex Sandslash","beaniebrawl"
"163","BigTingz","9","LOSS","MaximusAle",NA,"10-2-0","Exeggutor ex Venusaur ex","Pikachu ex Zebstrika","beaniebrawl"
"165","BigTingz","7","WIN","Atmosphere",NA,"7-3-1","Exeggutor ex Venusaur ex","Mewtwo ex Gardevoir","beaniebrawl"
"166","BigTingz","6","WIN","James Arnold",NA,"6-3-0","Exeggutor ex Venusaur ex","Arbok Weezing","beaniebrawl"
"167","BigTingz","5","WIN","savg1000",NA,"4-4-0drop","Exeggutor ex Venusaur ex","Pikachu ex Electrode","beaniebrawl"
"168","BigTingz","4","WIN","ZOINKS",NA,"8-2-1","Exeggutor ex Venusaur ex","Exeggutor ex Victreebel","beaniebrawl"
"169","BigTingz","3","WIN","Phonytail",NA,"3-2-0drop","Exeggutor ex Venusaur ex","Pikachu ex Zebstrika","beaniebrawl"
"170","BigTingz","2","WIN","albinauran",NA,"1-2-0drop","Exeggutor ex Venusaur ex","Venusaur ex Lilligant","beaniebrawl"
"171","BigTingz","1","WIN","Juan Rodriguez",NA,"8-3-1","Exeggutor ex Venusaur ex","Machamp ex Marowak ex","beaniebrawl"
"172","ZOINKS","9","WIN","Gamerboy365",NA,"7-3-1","Exeggutor ex Victreebel","Mewtwo ex Gardevoir","beaniebrawl"
"174","ZOINKS","7","WIN","Oralet",NA,"8-3-1","Exeggutor ex Victreebel","Mewtwo ex Gardevoir","beaniebrawl"
"175","ZOINKS","6","WIN","KingHeracross",NA,"4-3-0drop","Exeggutor ex Victreebel","Wigglytuff ex Weezing","beaniebrawl"
"176","ZOINKS","5","WIN","Windy09",NA,"4-3-0drop","Exeggutor ex Victreebel","Charizard ex Moltres ex","beaniebrawl"
"177","ZOINKS","4","LOSS","BigTingz",NA,"8-2-1","Exeggutor ex Victreebel","Exeggutor ex Venusaur ex","beaniebrawl"
"178","ZOINKS","3","WIN","Xeloo",NA,"9-3-1","Exeggutor ex Victreebel","Pikachu ex Zebstrika","beaniebrawl"
"179","ZOINKS","2","WIN","RedeyesStorm",NA,"3-3-0drop","Exeggutor ex Victreebel","Marowak ex Hitmonchan","beaniebrawl"
"180","ZOINKS","1","WIN","Ryzeoverrun",NA,"8-3-1","Exeggutor ex Victreebel","Pikachu ex Electrode","beaniebrawl"
"181","NinoEx","9","LOSS","Jotapee",NA,"9-2-0","Mewtwo ex Gardevoir","Pikachu ex Electrode","beaniebrawl"
"182","NinoEx","8","WIN","Juniorfrmos",NA,"11-3-0","Mewtwo ex Gardevoir","Articuno ex Starmie ex","beaniebrawl"
"183","NinoEx","7","WIN","Curupira",NA,"6-3-0","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex","beaniebrawl"
"184","NinoEx","6","WIN","excaliblarg",NA,"8-3-1","Mewtwo ex Gardevoir","Ninetales Rapidash","beaniebrawl"
"185","NinoEx","5","WIN","Wesley454",NA,"3-2-0drop","Mewtwo ex Gardevoir","Marowak ex Sandslash","beaniebrawl"
"186","NinoEx","4","WIN","jimindobts123",NA,"6-3-0","Mewtwo ex Gardevoir","Pikachu ex Electrode","beaniebrawl"
"187","NinoEx","3","LOSS","AzeL",NA,"5-3-0drop","Mewtwo ex Gardevoir","Charizard ex Moltres ex","beaniebrawl"
"188","NinoEx","2","WIN","nuti",NA,"4-3-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","beaniebrawl"
"189","NinoEx","1","WIN","lautaloval",NA,"1-3-0drop","Mewtwo ex Gardevoir","Articuno ex Starmie ex","beaniebrawl"
"190","Luke Shore-Jones","9","WIN","Racsoh",NA,"6-3-0drop","Pikachu ex Raichu","Pikachu ex Electrode","beaniebrawl"
"191","Luke Shore-Jones","8","WIN","Elegy",NA,"5-3-0drop","Pikachu ex Raichu","Articuno ex Greninja","beaniebrawl"
"192","Luke Shore-Jones","7","WIN","jeffbezos",NA,"4-4-0drop","Pikachu ex Raichu","Articuno ex","beaniebrawl"
"193","Luke Shore-Jones","6","LOSS","Spectra75",NA,"5-4-0","Pikachu ex Raichu","Mewtwo ex Gardevoir","beaniebrawl"
"194","Luke Shore-Jones","5","WIN","Lulu",NA,"3-2-1drop","Pikachu ex Raichu","Mewtwo ex Gardevoir","beaniebrawl"
"195","Luke Shore-Jones","4","LOSS","MaximusAle",NA,"10-2-0","Pikachu ex Raichu","Pikachu ex Zebstrika","beaniebrawl"
"196","Luke Shore-Jones","3","WIN","neant",NA,"4-2-0drop","Pikachu ex Raichu","Exeggutor ex Victreebel","beaniebrawl"
"197","Luke Shore-Jones","2","WIN","Alo",NA,"1-2-0drop","Pikachu ex Raichu","Mewtwo ex Gardevoir","beaniebrawl"
"198","Luke Shore-Jones","1","WIN","jimindobts123",NA,"6-3-0","Pikachu ex Raichu","Pikachu ex Electrode","beaniebrawl"
"199","bk7","9","LOSS","FeliredVD",NA,"10-2-0","Starmie ex Greninja","Pikachu ex Electrode","beaniebrawl"
"200","bk7","8","WIN","James Arnold",NA,"6-3-0","Starmie ex Greninja","Arbok Weezing","beaniebrawl"
"201","bk7","7","WIN","Spectra75",NA,"5-4-0","Starmie ex Greninja","Mewtwo ex Gardevoir","beaniebrawl"
"202","bk7","6","WIN","Mantelnor",NA,"4-3-0drop","Starmie ex Greninja","Articuno ex","beaniebrawl"
"203","bk7","5","WIN","JohnSubbi",NA,"4-5-0","Starmie ex Greninja","Ninetales Rapidash","beaniebrawl"
"204","bk7","4","WIN","BlackMarvelGaming",NA,"2-3-0drop","Starmie ex Greninja","Exeggutor ex Venusaur ex","beaniebrawl"
"205","bk7","3","WIN","simonmcjoe",NA,"5-4-0","Starmie ex Greninja","Moltres ex Ninetales","beaniebrawl"
"206","bk7","2","LOSS","MaximusAle",NA,"10-2-0","Starmie ex Greninja","Pikachu ex Zebstrika","beaniebrawl"
"207","bk7","1","WIN","ashfox",NA,"2-2-0drop","Starmie ex Greninja","Mewtwo ex Gardevoir","beaniebrawl"
"208","VartanCaftel","9","WIN","Pokelucas",NA,"6-3-0","Pikachu ex Electrode","Pikachu ex Raichu","beaniebrawl"
"209","VartanCaftel","8","WIN","Jhonnycito",NA,"6-3-0","Pikachu ex Electrode","Mewtwo ex Gardevoir","beaniebrawl"
"210","VartanCaftel","7","WIN","iHobbit",NA,"4-3-0drop","Pikachu ex Electrode","Dragonite Frosmoth","beaniebrawl"
"211","VartanCaftel","6","LOSS","Curupira",NA,"6-3-0","Pikachu ex Electrode","Pikachu ex Zapdos ex","beaniebrawl"
"212","VartanCaftel","5","WIN","MochaLatte",NA,"4-3-0drop","Pikachu ex Electrode","Pikachu ex Zebstrika","beaniebrawl"
"213","VartanCaftel","4","LOSS","Atmosphere",NA,"7-3-1","Pikachu ex Electrode","Mewtwo ex Gardevoir","beaniebrawl"
"214","VartanCaftel","3","WIN","HeLoDe",NA,"3-3-0drop","Pikachu ex Electrode","Mewtwo ex Gardevoir","beaniebrawl"
"215","VartanCaftel","2","WIN","Jac Thiebeau",NA,"5-3-0drop","Pikachu ex Electrode","Articuno ex Starmie ex","beaniebrawl"
"216","VartanCaftel","1","WIN","wtpk14",NA,"0-3-0drop","Pikachu ex Electrode","Marowak ex Sandslash","beaniebrawl"
"219","littledarkfury","7","WIN","Elegy",NA,"5-3-0drop","Wigglytuff ex Weezing","Articuno ex Greninja","beaniebrawl"
"220","littledarkfury","6","WIN","Nidha",NA,"6-3-0","Wigglytuff ex Weezing","Venusaur ex Lilligant","beaniebrawl"
"221","littledarkfury","5","WIN","AnaLystX",NA,"3-3-0drop","Wigglytuff ex Weezing","Pikachu ex Raichu","beaniebrawl"
"222","littledarkfury","4","WIN","Ant ",NA,"6-3-0","Wigglytuff ex Weezing","Mewtwo ex Gardevoir","beaniebrawl"
