"","Player","Round","Result","Opponent","PlayerDeck","OpponentDeck"
"54","NinoEx",7,"WIN","Comatosis","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"55","NinoEx",6,"LOSS","PSukiyama","Mewtwo ex Gardevoir","Charizard ex Moltres ex"
"56","NinoEx",5,"WIN","Just_Samuele","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"57","NinoEx",4,"WIN","Ash_PTCG","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"58","NinoEx",3,"WIN","FaiLuomoFr","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"59","NinoEx",2,"WIN","Vny","Mewtwo ex Gardevoir","Marowak ex Sandslash"
"60","NinoEx",1,"WIN","pabloo30","Mewtwo ex Gardevoir","Venusaur ex Lilligant"
"61","SirMcNugg3t",10,"WIN","alsmt707","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"63","SirMcNugg3t",8,"WIN","Initard","Pikachu ex Zapdos ex","Pikachu ex Raichu"
"64","SirMcNugg3t",7,"WIN","RealAsMike","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"65","SirMcNugg3t",6,"WIN","Yunikin","Pikachu ex Zapdos ex","Marowak ex Primeape"
"66","SirMcNugg3t",5,"WIN","Motorio","Pikachu ex Zapdos ex","Ninetales Rapidash"
"67","SirMcNugg3t",4,"WIN","Heppie","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"68","SirMcNugg3t",3,"WIN","CMGato","Pikachu ex Zapdos ex","Marowak ex Sandslash"
"69","SirMcNugg3t",2,"LOSS","WanderingFlash","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"70","SirMcNugg3t",1,"WIN","Abizard","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"71","victorljaco",10,"WIN","EimanTan","Pikachu ex Zapdos ex","Charizard ex Moltres ex"
"73","victorljaco",8,"WIN","Peterolord","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"74","victorljaco",7,"WIN","BringBack1996","Pikachu ex Zapdos ex","Charizard ex Moltres ex"
"75","victorljaco",6,"WIN","TheTritriTyrant","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"76","victorljaco",5,"WIN","SonicF","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"77","victorljaco",4,"LOSS","thrae","Pikachu ex Zapdos ex","Wigglytuff ex Weezing"
"78","victorljaco",3,"WIN","alberrtt9","Pikachu ex Zapdos ex","Charizard ex Moltres ex"
"79","victorljaco",2,"WIN","Lulu","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"80","victorljaco",1,"WIN","Abe","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"81","AnaLystX",10,"WIN","NerdWithASwitch","Pikachu ex Raichu","Pikachu ex Zapdos ex"
"83","AnaLystX",8,"WIN","bzkfoox","Pikachu ex Raichu","Pikachu ex Zapdos ex"
"84","AnaLystX",7,"WIN","YT_YoshGaming","Pikachu ex Raichu","Pikachu ex Zapdos ex"
"85","AnaLystX",6,"WIN","leomc","Pikachu ex Raichu","Pikachu ex Zapdos ex"
"86","AnaLystX",5,"WIN","Mi203","Pikachu ex Raichu","Pikachu ex Zapdos ex"
"87","AnaLystX",4,"WIN","hannacout","Pikachu ex Raichu","Pikachu ex Electrode"
"88","AnaLystX",3,"WIN","HooN","Pikachu ex Raichu","Pikachu ex Zapdos ex"
"89","AnaLystX",2,"WIN","pikapikachu1989","Pikachu ex Raichu","Mewtwo ex Gardevoir"
"90","AnaLystX",1,"WIN","Greensan","Pikachu ex Raichu","Greninja Weezing"
"91","vtrPeres",10,"WIN","ItsMik3yTime","Pikachu ex Zapdos ex","Charizard ex Moltres ex"
"92","vtrPeres",9,"WIN","Jano","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"93","vtrPeres",8,"WIN","ichi_p","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"94","vtrPeres",7,"WIN","crynimar","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"95","vtrPeres",6,"WIN","Fredran","Pikachu ex Zapdos ex","Starmie ex Articuno ex"
"96","vtrPeres",5,"WIN","Xapu69","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"97","vtrPeres",4,"WIN","Sheedkash","Pikachu ex Zapdos ex","Pikachu ex Electrode"
"98","vtrPeres",3,"WIN","PrinceDillon","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"99","vtrPeres",2,"LOSS","Tt9911","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"100","vtrPeres",1,"WIN","Exco","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"101","Hayato",10,"WIN","SKY_SkyWolf93","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"102","Hayato",9,"WIN","sike","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"103","Hayato",8,"WIN","YT_YoshGaming","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"104","Hayato",7,"WIN","FaiLuomoFr","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"105","Hayato",6,"LOSS","Azzareel","Pikachu ex Zapdos ex","Marowak ex Sandslash"
"106","Hayato",5,"WIN","VRSancheti","Pikachu ex Zapdos ex","Marowak ex Sandslash"
"107","Hayato",4,"WIN","t1al","Pikachu ex Zapdos ex","Articuno ex"
"108","Hayato",3,"WIN","LionHunter","Pikachu ex Zapdos ex","Starmie ex Articuno ex"
"109","Hayato",2,"WIN","Ema03","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"110","Hayato",1,"WIN","Niroku","Pikachu ex Zapdos ex","Lapras ex Articuno ex"
"111","KaptKerr",10,"WIN","Numatinale","Ninetales Rapidash","Mewtwo ex Gardevoir"
"112","KaptKerr",9,"WIN","Mout","Ninetales Rapidash","Pikachu ex Zapdos ex"
"113","KaptKerr",8,"WIN","MoFro","Ninetales Rapidash","Pikachu ex Zapdos ex"
"114","KaptKerr",7,"WIN","NE","Ninetales Rapidash","Mewtwo ex Gardevoir"
"115","KaptKerr",6,"WIN","Lulu","Ninetales Rapidash","Mewtwo ex Gardevoir"
"116","KaptKerr",5,"WIN","zuma","Ninetales Rapidash","Starmie ex Articuno ex"
"117","KaptKerr",4,"WIN","seung5233","Ninetales Rapidash","Wigglytuff ex Exeggutor ex"
"118","KaptKerr",3,"WIN","Soul92","Ninetales Rapidash","Charizard ex Moltres ex"
"119","KaptKerr",2,"WIN","PkmnTrainerJoey","Ninetales Rapidash","Mewtwo ex Gardevoir"
"120","KaptKerr",1,"LOSS","Teremiare","Ninetales Rapidash","Starmie ex Articuno ex"
"121","Froo",10,"WIN","johnnychiou36","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"122","Froo",9,"WIN","ki_mamama","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"123","Froo",8,"WIN","Gqqq","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"124","Froo",7,"WIN","Dragfall","Pikachu ex Zapdos ex","Pikachu ex Electrode"
"125","Froo",6,"WIN","pateke16","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"126","Froo",5,"WIN","Gaëtan Lugon-Moulin","Pikachu ex Zapdos ex","Arbok Weezing"
"127","Froo",4,"WIN","ventuswiingbladettv","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"128","Froo",3,"LOSS","Nikkiboy","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"129","Froo",2,"WIN","WamboGambo","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"130","Froo",1,"WIN","sssnivy","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"132","MaesWins",9,"WIN","LeeoCastro","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"133","MaesWins",8,"WIN","VS","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"134","MaesWins",7,"LOSS","TiltingShiba","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"135","MaesWins",6,"WIN","Enel","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"136","MaesWins",5,"WIN","Danart","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"137","MaesWins",4,"WIN","Juan Gomez","Pikachu ex Zapdos ex","Charizard ex Moltres ex"
"138","MaesWins",3,"WIN","SKY_SkyWolf93","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"139","MaesWins",2,"WIN","skateman222 ","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"140","MaesWins",1,"WIN","Josefdez","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"142","pampe",9,"WIN","ThePhil","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"143","pampe",8,"WIN","Enel","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"144","pampe",7,"WIN","valvind","Pikachu ex Zapdos ex","Marowak ex Golbat"
"145","pampe",6,"WIN","Rami94","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"146","pampe",5,"WIN","Bintangbww","Pikachu ex Zapdos ex","Pikachu ex Electrode"
"147","pampe",4,"WIN","LouiseValentine","Pikachu ex Zapdos ex","Marowak ex Sandslash"
"148","pampe",3,"LOSS","JohnSubbi","Pikachu ex Zapdos ex","Marowak ex Primeape"
"149","pampe",2,"WIN","bitencourt99","Pikachu ex Zapdos ex","Articuno ex Lapras ex"
"150","pampe",1,"WIN","shimobr","Pikachu ex Zapdos ex","Charizard ex Moltres ex"
"151","KidEX",10,"WIN","Initard","Pikachu ex Zapdos ex","Pikachu ex Raichu"
"152","KidEX",9,"WIN","waftage","Pikachu ex Zapdos ex","Charizard ex Moltres ex"
"153","KidEX",8,"LOSS","sakura_muhai","Pikachu ex Zapdos ex","Pikachu ex Raichu"
"154","KidEX",7,"WIN","Excelia","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"155","KidEX",6,"WIN","DEADi","Pikachu ex Zapdos ex","Sandslash Primeape"
"156","KidEX",5,"LOSS","yoppe06","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"157","KidEX",4,"WIN","rckola","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"158","KidEX",3,"WIN","LeeoCastro","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"159","KidEX",2,"WIN","Raichuomega","Pikachu ex Zapdos ex","Starmie ex Articuno ex"
"160","KidEX",1,"WIN","sadclown","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"161","leomc",10,"WIN","comatthew6","Pikachu ex Zapdos ex","Starmie ex Articuno ex"
"162","leomc",9,"WIN","Sangrialll","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"163","leomc",8,"LOSS","NinoEx","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"164","leomc",7,"WIN","Kanowki","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"165","leomc",6,"LOSS","AnaLystX","Pikachu ex Zapdos ex","Pikachu ex Raichu"
"166","leomc",5,"WIN","Crushed","Pikachu ex Zapdos ex","Pikachu ex Zebstrika"
"167","leomc",4,"WIN","spamandrice","Pikachu ex Zapdos ex","Ninetales Rapidash"
"168","leomc",3,"WIN","Azulite","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"169","leomc",2,"WIN","Gity","Pikachu ex Zapdos ex","Pikachu ex Electrode"
"170","leomc",1,"WIN","Ch3ckmate","Pikachu ex Zapdos ex","Charizard ex Moltres ex"
"171","sakura_muhai",10,"WIN","ki_mamama","Pikachu ex Raichu","Mewtwo ex Gardevoir"
"172","sakura_muhai",9,"LOSS","NerdWithASwitch","Pikachu ex Raichu","Pikachu ex Zapdos ex"
"173","sakura_muhai",8,"WIN","KidEX","Pikachu ex Raichu","Pikachu ex Zapdos ex"
"174","sakura_muhai",7,"WIN","Uzume","Pikachu ex Raichu","Mewtwo ex Gardevoir"
"175","sakura_muhai",6,"WIN","Kaywi21","Pikachu ex Raichu","Pikachu ex Zapdos ex"
"176","sakura_muhai",5,"WIN","animbask","Pikachu ex Raichu","Pidgeot Arbok"
"177","sakura_muhai",4,"WIN","Alo","Pikachu ex Raichu","Blastoise ex Snorlax"
"178","sakura_muhai",3,"LOSS","bestpas","Pikachu ex Raichu","Charizard ex Moltres ex"
"179","sakura_muhai",2,"WIN","Nezym","Pikachu ex Raichu","Pikachu ex Zapdos ex"
"180","sakura_muhai",1,"WIN","cchan0728","Pikachu ex Raichu","Starmie ex Articuno ex"
"181","Mout",10,"WIN","airya","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"182","Mout",9,"LOSS","KaptKerr","Pikachu ex Zapdos ex","Ninetales Rapidash"
"183","Mout",8,"WIN","Azzareel","Pikachu ex Zapdos ex","Marowak ex Sandslash"
"184","Mout",7,"WIN","Bisca","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"185","Mout",6,"WIN","DecaPod","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"186","Mout",5,"LOSS","MoFro","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"187","Mout",4,"WIN","Fredran","Pikachu ex Zapdos ex","Starmie ex Articuno ex"
"188","Mout",3,"WIN","sopheon","Pikachu ex Zapdos ex","Arbok Weezing"
"189","Mout",2,"WIN","Brandon J","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"190","Mout",1,"WIN","yuramas","Pikachu ex Zapdos ex","Charizard ex Moltres ex"
"191","Enel",10,"WIN","LionHunter","Mewtwo ex Gardevoir","Starmie ex Articuno ex"
"192","Enel",9,"WIN","NE","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"193","Enel",8,"LOSS","pampe","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"194","Enel",7,"WIN","Xeloo","Mewtwo ex Gardevoir","Starmie ex Articuno ex"
"195","Enel",6,"LOSS","MaesWins","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"196","Enel",5,"WIN","Uzume","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"197","Enel",4,"WIN","figoahmad","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"198","Enel",3,"WIN","olukq","Mewtwo ex Gardevoir","Machamp ex"
"199","Enel",2,"WIN","Excelia","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"200","Enel",1,"WIN","mium3","Mewtwo ex Gardevoir","Venusaur ex"
"201","johnnychiou36",10,"LOSS","Froo","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"202","johnnychiou36",9,"WIN","bzkfoox","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"203","johnnychiou36",8,"LOSS","EEE","Mewtwo ex Gardevoir","Pikachu ex Zebstrika"
"204","johnnychiou36",7,"WIN","Azzareel","Mewtwo ex Gardevoir","Marowak ex Sandslash"
"205","johnnychiou36",6,"WIN","Jeudy","Mewtwo ex Gardevoir","Pikachu ex Raichu"
"206","johnnychiou36",5,"WIN","crynimar","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"207","johnnychiou36",4,"WIN","ClasSICKK","Mewtwo ex Gardevoir","Exeggutor ex Victreebel"
"208","johnnychiou36",3,"WIN","Kensuke H","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"209","johnnychiou36",2,"WIN","haito","Mewtwo ex Gardevoir","Pikachu ex Raichu"
"210","johnnychiou36",1,"WIN","Yesterday","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"211","ItsMik3yTime",10,"LOSS","vtrPeres","Charizard ex Moltres ex","Pikachu ex Zapdos ex"
"212","ItsMik3yTime",9,"WIN","MEINKAMPF","Charizard ex Moltres ex","Starmie ex Articuno ex"
"213","ItsMik3yTime",8,"WIN","yoppe06","Charizard ex Moltres ex","Pikachu ex Zapdos ex"
"214","ItsMik3yTime",7,"WIN","XwiiT","Charizard ex Moltres ex","Exeggutor ex Alakazam"
"215","ItsMik3yTime",6,"WIN","PHIS","Charizard ex Moltres ex","Charizard ex Moltres ex"
"216","ItsMik3yTime",5,"WIN","volinator","Charizard ex Moltres ex","Mewtwo ex Gardevoir"
"217","ItsMik3yTime",4,"LOSS","OnlyEmbers","Charizard ex Moltres ex","Pikachu ex Zapdos ex"
"218","ItsMik3yTime",3,"WIN","DreWooo","Charizard ex Moltres ex","Vileplume Exeggutor"
"219","ItsMik3yTime",2,"WIN","Claire","Charizard ex Moltres ex","Machamp ex Marowak ex"
"220","ItsMik3yTime",1,"WIN","ViperPro","Charizard ex Moltres ex","Venusaur ex Exeggutor ex"
"221","NerdWithASwitch",10,"LOSS","AnaLystX","Pikachu ex Zapdos ex","Pikachu ex Raichu"
"222","NerdWithASwitch",9,"WIN","sakura_muhai","Pikachu ex Zapdos ex","Pikachu ex Raichu"
"223","NerdWithASwitch",8,"WIN","Jeudy","Pikachu ex Zapdos ex","Pikachu ex Raichu"
"224","NerdWithASwitch",7,"WIN","Maverick6744","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"225","NerdWithASwitch",6,"WIN","Kazuma","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"226","NerdWithASwitch",5,"WIN","Brandovsk","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"227","NerdWithASwitch",4,"WIN","TaziGamer","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"228","NerdWithASwitch",3,"WIN","matcha","Pikachu ex Zapdos ex","Pikachu ex Raichu"
"229","NerdWithASwitch",2,"WIN","Saga","Pikachu ex Zapdos ex","Charizard ex Moltres ex"
"230","NerdWithASwitch",1,"LOSS","KensaiPSY","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"231","Numatinale",10,"LOSS","KaptKerr","Mewtwo ex Gardevoir","Ninetales Rapidash"
"232","Numatinale",9,"WIN","comatthew6","Mewtwo ex Gardevoir","Starmie ex Articuno ex"
"233","Numatinale",8,"WIN","Shirotori","Mewtwo ex Gardevoir","Moltres ex Ninetales"
"234","Numatinale",7,"WIN","Sushikraver","Mewtwo ex Gardevoir","Marowak ex Primeape"
"235","Numatinale",6,"WIN","Chip Richey","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"236","Numatinale",5,"WIN","Louan","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"237","Numatinale",4,"WIN","gat0","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"238","Numatinale",3,"LOSS","alex00000","Mewtwo ex Gardevoir","Marowak ex Dugtrio"
"239","Numatinale",2,"WIN","airya","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"240","Numatinale",1,"WIN","Palkia_The_Spacer","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"241","OhNoimGINGER",10,"WIN","Pinguim","Pikachu ex Zapdos ex","Alakazam Weezing"
"242","OhNoimGINGER",9,"LOSS","NinoEx","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"243","OhNoimGINGER",8,"WIN","PSukiyama","Pikachu ex Zapdos ex","Charizard ex Moltres ex"
"244","OhNoimGINGER",7,"WIN","kittentod","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"245","OhNoimGINGER",6,"WIN","Novastence","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"246","OhNoimGINGER",5,"LOSS","comatthew6","Pikachu ex Zapdos ex","Starmie ex Articuno ex"
"247","OhNoimGINGER",4,"WIN","yungmung69","Pikachu ex Zapdos ex","Blastoise ex Tentacruel"
"248","OhNoimGINGER",3,"WIN","Fosco","Pikachu ex Zapdos ex","Charizard ex Moltres ex"
"249","OhNoimGINGER",2,"WIN","Kanowki","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"250","OhNoimGINGER",1,"WIN","Everythingisquietnow","Pikachu ex Zapdos ex","Arcanine ex Moltres ex"
"251","LeeoCastro",10,"WIN","Crushed","Pikachu ex Zapdos ex","Pikachu ex Zebstrika"
"252","LeeoCastro",9,"LOSS","MaesWins","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"253","LeeoCastro",8,"WIN","Skorme","Pikachu ex Zapdos ex","Pikachu ex Zebstrika"
"254","LeeoCastro",7,"WIN","Just_Samuele","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"255","LeeoCastro",6,"WIN","poko0000","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"256","LeeoCastro",5,"WIN","Racsoh","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"257","LeeoCastro",4,"WIN","keigo080522","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"258","LeeoCastro",3,"LOSS","KidEX","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"259","LeeoCastro",2,"WIN","Jacek","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"260","LeeoCastro",1,"WIN","jreamx","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"261","SKY_SkyWolf93",10,"LOSS","Hayato","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"262","SKY_SkyWolf93",9,"WIN","ShadoHound","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"263","SKY_SkyWolf93",8,"WIN","Gity","Mewtwo ex Gardevoir","Pikachu ex Electrode"
"264","SKY_SkyWolf93",7,"WIN","Spiinner","Mewtwo ex Gardevoir","Exeggutor ex Beedrill"
"265","SKY_SkyWolf93",6,"WIN","thrae","Mewtwo ex Gardevoir","Wigglytuff ex Weezing"
"266","SKY_SkyWolf93",5,"WIN","JohnSubbi","Mewtwo ex Gardevoir","Marowak ex Primeape"
"267","SKY_SkyWolf93",4,"WIN","Marc19","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"268","SKY_SkyWolf93",3,"LOSS","MaesWins","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"269","SKY_SkyWolf93",2,"WIN","goramu","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"270","SKY_SkyWolf93",1,"WIN","HERNANSKY","Mewtwo ex Gardevoir","Dragonite Kangaskhan"
"271","sike",10,"WIN"," Bifrost","Pikachu ex Zapdos ex","Articuno ex"
"272","sike",9,"LOSS","Hayato","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"273","sike",8,"WIN","Drayke","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"274","sike",7,"WIN","TwitchTVOdinzadaTV","Pikachu ex Zapdos ex","Pikachu ex Raichu"
"275","sike",6,"WIN","Hazelnut","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"276","sike",5,"WIN","Valden","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"277","sike",4,"LOSS","yodada30","Pikachu ex Zapdos ex","Arbok Weezing"
"278","sike",3,"WIN","likeollywithab","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
